epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9013,2.53397,7.3276,2.24517,0.16822,0.25882,0.17821,0.10972,2.13069,9.85118,1.84512,0.000234033,0.000234033,0.000234033
2,81.0399,2.28892,4.99341,1.95663,0.62191,0.26082,0.27113,0.11801,1.85054,3.4898,1.51414,0.000425302,0.000425302,0.000425302
3,120.049,2.20284,4.42146,1.85253,0.66311,0.26238,0.2952,0.11353,1.94906,2.53593,1.5544,0.000569447,0.000569447,0.000569447
4,159.746,2.02704,3.99563,1.78171,0.39414,0.28464,0.24999,0.08834,2.03269,2.99143,1.59895,0.000501942,0.000501942,0.000501942
5,199.432,1.98304,3.74361,1.73733,0.41472,0.24118,0.24526,0.11757,2.02473,2.63133,1.52636,0.000431256,0.000431256,0.000431256
6,239.387,1.97087,3.6094,1.71081,0.41551,0.24694,0.28852,0.13974,2.02545,2.45076,1.50699,0.00036057,0.00036057,0.00036057
7,278.66,1.85109,3.20089,1.62934,0.91832,0.26324,0.3297,0.16448,2.01944,2.11905,1.51836,0.000289884,0.000289884,0.000289884
8,316.675,1.83306,2.83353,1.59031,0.91832,0.26324,0.3297,0.16448,2.01944,2.11905,1.51836,0.000219198,0.000219198,0.000219198
9,355.856,1.8036,2.70428,1.5473,0.93169,0.26238,0.33325,0.16799,1.98496,2.26277,1.51115,0.000148512,0.000148512,0.000148512
10,393.777,1.82869,2.76094,1.56918,0.41856,0.46555,0.35464,0.18156,1.94191,2.29799,1.49241,7.7826e-05,7.7826e-05,7.7826e-05
