filename,original_entropy,dcp_processed,dcp_entropy,clahe_processed,clahe_entropy
001.png,7.3358,False,N/A,True,7.5264
002.png,7.4968,False,N/A,True,7.5860
003.png,7.0243,False,N/A,True,7.1029
004.png,7.2226,False,N/A,True,7.3781
005.png,6.9953,False,N/A,True,7.2915
006.png,7.4882,False,N/A,True,7.5856
007.png,7.2603,False,N/A,True,7.3736
008.png,7.4563,False,N/A,True,7.6565
009.png,7.5615,False,N/A,True,7.7164
010.png,7.4490,False,N/A,True,7.6355
011.png,7.5515,False,N/A,True,7.6095
012.png,7.3713,False,N/A,True,7.5133
013.png,7.2853,False,N/A,True,7.5028
014.png,7.1022,False,N/A,True,7.4087
015.png,7.4313,False,N/A,True,7.6165
016.png,7.3226,False,N/A,True,7.4418
017.png,7.4441,False,N/A,True,7.5448
018.png,7.3201,False,N/A,True,7.4387
019.png,7.0483,False,N/A,True,7.4636
020.png,5.9899,False,N/A,True,6.8378
021.png,7.0658,False,N/A,True,7.2919
022.png,7.1921,False,N/A,True,7.3137
023.png,7.2362,False,N/A,True,7.3374
024.png,7.2096,False,N/A,True,7.3018
025.png,7.3908,False,N/A,True,7.6233
026.png,7.2760,False,N/A,True,7.4522
027.png,7.1500,False,N/A,True,7.4449
028.png,7.3909,False,N/A,True,7.3118
029.png,7.1926,False,N/A,True,7.3799
030.png,7.4132,False,N/A,True,7.6146
031.png,7.4173,False,N/A,True,7.6769
032.png,7.1654,False,N/A,True,7.4455
033.png,7.3302,False,N/A,True,7.4151
034.png,7.6591,False,N/A,True,7.6576
035.png,7.5682,False,N/A,True,7.6314
036.png,7.4026,False,N/A,True,7.5988
037.png,7.3768,False,N/A,True,7.4158
038.png,7.3771,False,N/A,True,7.5827
039.png,7.1811,False,N/A,True,7.3285
040.png,7.2336,False,N/A,True,7.3932
041.png,7.2028,False,N/A,True,7.4282
042.png,7.3171,False,N/A,True,7.2314
043.png,7.4303,False,N/A,True,7.5113
044.png,7.3203,False,N/A,True,7.3025
045.png,7.3327,False,N/A,True,7.4840
046.png,6.8342,False,N/A,True,7.0507
047.png,7.2488,False,N/A,True,7.3956
048.png,7.0004,False,N/A,True,7.1801
049.png,7.1654,False,N/A,True,7.4034
